"handle","name","content","replies","retweets","favorites","unix_timestamp","date","url","__url"
"@AllieRaffa","Allie Raffa","Hundreds of @BernieSanders supporters in Iowa City have shown up for his ice cream social @FoxNewsMMR – at Robert A. Lee Community Recreation Center","143","380","2.2K","1562111166000","Jul 2","/AllieRaffa/status/1146203425576820736","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@Bidar411","Musadiq Bidar","Crowd filing in for @BernieSanders Ice Cream social event on a hot day in Iowa City. Campaign volunteer keeping count says more than 350 have come in so far. Standing room only now inside the room where about 200 were able to get a seat. ","15","192","654","1562111148000","Jul 2","/Bidar411/status/1146203348770705409","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@DailyMail","Daily Mail US","Bernie Sanders' fundraising lags while Pete Buttigieg's soars ","2","2","8","1562111166000","Jul 2","/DailyMail/status/1146203423928475648","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@belensisaw","Belén Sisa","Happening now: Team .@BernieSanders 2020 calling on .@realDonaldTrump to #CloseTheCamps in front of the White House ","3","44","128","1562110584000","Jul 2","/belensisaw/status/1146200983434878976","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@hellokatepayne","Kate Payne","Howdy from the Robert A. Lee Rec Center in summery Iowa City where folks are waiting for @BernieSanders.

The event was going to be at a park nearby but the chance of rain chased folks inside, so this is what an “ice cream social” eight months before the #IACaucus looks like.","1","13","33","1562111011000","Jul 2","/hellokatepayne/status/1146202772754378754","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@WaywardWinifred","Winifred","Couple of hours left to vote for @BernieSanders. ","5","44","157","1562108649000","Jul 2","/WaywardWinifred/status/1146192868488482816","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@Rouell3","Roger Ouellette","Doors have been open for five minutes. I think Iowa City is ready for @BernieSanders #bernieiniowa","1","14","68","1562110672000","Jul 2","/Rouell3/status/1146201350574882816","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@heavisj","Jill Says Close the Camps","Joe Biden — 23% 
Elizabeth Warren — 22% 
Kamala Harris — 17% 
Bernie Sanders — 15%
Pete Buttigieg — 7% 

This sparks joy. ","","12","20","1562111881000","Jul 2","/heavisj/status/1146206422964850689","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@murshedz","Murshed Zaheed  🐢","Biden-Warren now in a deadheat in post-debate poll per @DataProgress w Harris surging:

Joe Biden — 23% 
Elizabeth Warren — 22% 
Kamala Harris — 17% 
Bernie Sanders — 15%
Pete Buttigieg — 7% 

This is getting exciting. ","4","27","48","1562110760000","Jul 2","/murshedz/status/1146201723142201345","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@M2Meee","#CancelStudentDebt","Omggg look what was in the mail! Idek what I did to get this gift but it's just perfect after learning that Bernie Sanders raised $24,000,000 from a million donors!! #BernieDay","2","1","8","1562111753000","Jul 2","/M2Meee/status/1146205885959671809","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@axios","Axios","6. Bernie Sanders captured more online conversation than any other candidate last week following his student debt proposal, according to data NewsWhip exclusively provided to Axios. https://www.axios.com/2020-election-candidates-social-media-63fd3617-3d17-4790-8180-b35bc7aca51f.html?utm_source=twitter&utm_medium=social&utm_campaign=organic&utm_content=mediatrendsthread702 …","1","2","5","1562111461000","Jul 2","/axios/status/1146204659901771777","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@ef3078","Angryed","> stop mass-deportation plans.

as a tax paying citizen from a family that legally came to this country waiting 8 years doing it the right way, why shouldn't they be deported? 

they broke the law and you want to reward them?","2","1","14","1562108604000","Jul 2","/ef3078/status/1146192676728930306","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@telesurenglish","teleSUR English","The #US Senator @BernieSanders raised US$18 million for his presidential campaign in the second quarter.
","","12","24","1562109000000","Jul 2","/telesurenglish/status/1146194339250487298","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@CherryQuench","CherryQuench - Ready to move forward","Bernie Sander's Twitch channel is live, but he's not there streaming yet.

Listen, everyone has different political opinions, and I'm not here to pick an argument or a fight...

But I want to see Bernie's reaction to Cleric Beast in Bloodborne. I hope he plays Bloodborne.","3","1","10","1562110530000","Jul 2","/CherryQuench/status/1146200755193487362","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@GaryGrumbach","Gary Grumbach","In a fundraising update to supporters from campaign leadership, @BernieSanders campaign manager @fshakir says he believes many voters aren’t dialed into the race yet.","5","9","15","1562110592000","Jul 2","/GaryGrumbach/status/1146201016968327171","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@G_Haley086","Griff","Sounds about right Vermont is groovy.. luv you @BernieSanders ","","","8","1562109878000","Jul 2","/G_Haley086/status/1146198020557594625","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@NatalieMae31","#ChangeTheDebate  🌎 🌻 🌹 🇺🇦 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇮🇪 🇺🇲","Will you just missed this Breaking News Story while attempting to disc Bernie Sanders which was a epic failure on your behalf  ","","","7","1562110981000","Jul 2","/NatalieMae31/status/1146202647470514176","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@_feel_the_bern_","Feel The Bern 2016 Ⓥ","RT BernieSanders: Join Campaign Manager fshakir and Campaign Co-Chair Sen. ninaturner for an update on our fundraising numbers and the state of the campaign more than 4 months into the race. ","","4","8","1562110029000","Jul 2","/_feel_the_bern_/status/1146198656472797187","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
